
 pk_id | ck_id | f1
   400 |  c475 | val-475
   400 |  c476 | val-476
   400 |  c477 | val-477
   400 |  c478 | val-478
   400 |  c479 | val-479
   400 |  c480 | val-480
   400 |  c481 | val-481
   400 |  c482 | val-482
   400 |  c483 | val-483
   400 |  c484 | val-484
   400 |  c485 | val-485
   400 |  c486 | val-486
   400 |  c487 | val-487
   400 |  c488 | val-488
   400 |  c489 | val-489
   400 |  c490 | val-490
   400 |  c491 | val-491
   400 |  c492 | val-492
   400 |  c493 | val-493
   400 |  c494 | val-494
   400 |  c495 | val-495
   400 |  c496 | val-496
   400 |  c497 | val-497
   400 |  c498 | val-498
   400 |  c499 | val-499
   600 |  c600 | val-600
   600 |  c601 | val-601
   600 |  c602 | val-602
   600 |  c603 | val-603
   600 |  c604 | val-604
   600 |  c605 | val-605
   600 |  c606 | val-606
   600 |  c607 | val-607
   600 |  c608 | val-608
   600 |  c609 | val-609
   600 |  c610 | val-610
   600 |  c611 | val-611
   600 |  c612 | val-612
   600 |  c613 | val-613
   600 |  c614 | val-614
   600 |  c615 | val-615
   600 |  c616 | val-616
   600 |  c617 | val-617
   600 |  c618 | val-618
   600 |  c619 | val-619
   600 |  c620 | val-620
   600 |  c621 | val-621
   600 |  c622 | val-622
   600 |  c623 | val-623
   600 |  c624 | val-624
   600 |  c625 | val-625
   600 |  c626 | val-626
   600 |  c627 | val-627
   600 |  c628 | val-628
   600 |  c629 | val-629
   600 |  c630 | val-630
   600 |  c631 | val-631
   600 |  c632 | val-632
   600 |  c633 | val-633
   600 |  c634 | val-634
   600 |  c635 | val-635
   600 |  c636 | val-636
   600 |  c637 | val-637
   600 |  c638 | val-638
   600 |  c639 | val-639
   600 |  c640 | val-640
   600 |  c641 | val-641
   600 |  c642 | val-642
   600 |  c643 | val-643
   600 |  c644 | val-644
   600 |  c645 | val-645
   600 |  c646 | val-646
   600 |  c647 | val-647
   600 |  c648 | val-648
   600 |  c649 | val-649
   600 |  c650 | val-650
   600 |  c651 | val-651
   600 |  c652 | val-652
   600 |  c653 | val-653
   600 |  c654 | val-654
   600 |  c655 | val-655
   600 |  c656 | val-656
   600 |  c657 | val-657
   600 |  c658 | val-658
   600 |  c659 | val-659
   600 |  c660 | val-660
   600 |  c661 | val-661
   600 |  c662 | val-662
   600 |  c663 | val-663
   600 |  c664 | val-664
   600 |  c665 | val-665
   600 |  c666 | val-666
   600 |  c667 | val-667
   600 |  c668 | val-668
   600 |  c669 | val-669
   600 |  c670 | val-670
   600 |  c671 | val-671
   600 |  c672 | val-672
   600 |  c673 | val-673
   600 |  c674 | val-674
   600 |  c675 | val-675
   600 |  c676 | val-676
   600 |  c677 | val-677
   600 |  c678 | val-678
   600 |  c679 | val-679
   600 |  c680 | val-680
   600 |  c681 | val-681
   600 |  c682 | val-682
   600 |  c683 | val-683
   600 |  c684 | val-684
   600 |  c685 | val-685
   600 |  c686 | val-686
   600 |  c687 | val-687
   600 |  c688 | val-688
   600 |  c689 | val-689
   600 |  c690 | val-690
   600 |  c691 | val-691
   600 |  c692 | val-692
   600 |  c693 | val-693
   600 |  c694 | val-694
   600 |  c695 | val-695
   600 |  c696 | val-696
   600 |  c697 | val-697
   600 |  c698 | val-698
   600 |  c699 | val-699

(300 rows)
